"","months","price","city","state"
"1",2020-05-01,157.54628666528,"Tasmania","Tasmania"
"2",2020-06-01,157.555905842791,"Tasmania","Tasmania"
"3",2020-07-01,157.280627384485,"Tasmania","Tasmania"
"4",2020-08-01,151.067296951609,"Tasmania","Tasmania"
"5",2020-09-01,153.105344086022,"Tasmania","Tasmania"
"6",2020-10-01,156.187947826087,"Tasmania","Tasmania"
"7",2020-11-01,159.231346578366,"Tasmania","Tasmania"
"8",2020-12-01,167.451868629672,"Tasmania","Tasmania"
"9",2021-01-01,172.250795093139,"Tasmania","Tasmania"
"10",2021-02-01,168.997098214286,"Tasmania","Tasmania"
"11",2021-03-01,169.637485970819,"Tasmania","Tasmania"
"12",2021-04-01,172.766292134831,"Tasmania","Tasmania"
